,name,value,Check
539,PE.askQty,0,FALSE
540,PE.askPrice,0,FALSE
541,PE.underlyingValue,34415.45,FALSE
542,strikePrice,28800,FALSE
543,expiryDate,29-Jul-21,FALSE
544,CE.strikePrice,28800,FALSE
545,CE.expiryDate,29-Jul-21,FALSE
546,CE.underlying,BANKNIFTY,FALSE
547,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28800.00,FALSE
548,CE.openInterest,0,FALSE
549,CE.changeinOpenInterest,0,FALSE
550,CE.pchangeinOpenInterest,0,FALSE
551,CE.totalTradedVolume,0,FALSE
552,CE.impliedVolatility,0,FALSE
553,CE.lastPrice,0,FALSE
554,CE.change,0,FALSE
555,CE.pChange,0,FALSE
556,CE.totalBuyQuantity,4700,FALSE
557,CE.totalSellQuantity,3150,FALSE
558,CE.bidQty,1275,FALSE
559,CE.bidprice,5498.95,FALSE
560,CE.askQty,750,TRUE
561,CE.askPrice,6517.6,FALSE
562,CE.underlyingValue,34415.45,FALSE
563,PE.strikePrice,28800,FALSE
564,PE.expiryDate,29-Jul-21,FALSE
565,PE.underlying,BANKNIFTY,FALSE
566,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28800.00,FALSE
567,PE.openInterest,3,FALSE
568,PE.changeinOpenInterest,0,FALSE
569,PE.pchangeinOpenInterest,0,FALSE
570,PE.totalTradedVolume,0,FALSE
571,PE.impliedVolatility,0,FALSE
572,PE.lastPrice,7,FALSE
573,PE.change,0,FALSE
574,PE.pChange,0,FALSE
575,PE.totalBuyQuantity,2150,FALSE
576,PE.totalSellQuantity,0,FALSE
577,PE.bidQty,25,FALSE
578,PE.bidprice,0.35,FALSE
579,PE.askQty,0,FALSE
580,PE.askPrice,0,FALSE
581,PE.underlyingValue,34415.45,FALSE
582,strikePrice,28900,FALSE
583,expiryDate,29-Jul-21,FALSE
584,PE.strikePrice,28900,FALSE
585,PE.expiryDate,29-Jul-21,FALSE
586,PE.underlying,BANKNIFTY,FALSE
587,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28900.00,FALSE
588,PE.openInterest,0,FALSE
589,PE.changeinOpenInterest,0,FALSE
590,PE.pchangeinOpenInterest,0,FALSE
591,PE.totalTradedVolume,0,FALSE
592,PE.impliedVolatility,0,FALSE
593,PE.lastPrice,0,FALSE
594,PE.change,0,FALSE
595,PE.pChange,0,FALSE
596,PE.totalBuyQuantity,2100,FALSE
597,PE.totalSellQuantity,0,FALSE
598,PE.bidQty,100,FALSE
599,PE.bidprice,0.3,FALSE
600,PE.askQty,0,TRUE
601,PE.askPrice,0,FALSE
602,PE.underlyingValue,34415.45,FALSE
603,CE.strikePrice,28900,FALSE
604,CE.expiryDate,29-Jul-21,FALSE
605,CE.underlying,BANKNIFTY,FALSE
606,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28900.00,FALSE
607,CE.openInterest,0,FALSE
608,CE.changeinOpenInterest,0,FALSE
609,CE.pchangeinOpenInterest,0,FALSE
610,CE.totalTradedVolume,0,FALSE
611,CE.impliedVolatility,0,FALSE
612,CE.lastPrice,0,FALSE
613,CE.change,0,FALSE
614,CE.pChange,0,FALSE
615,CE.totalBuyQuantity,4900,FALSE
616,CE.totalSellQuantity,3150,FALSE
617,CE.bidQty,1275,FALSE
618,CE.bidprice,5392.3,FALSE
619,CE.askQty,750,FALSE
620,CE.askPrice,6408.35,FALSE
621,CE.underlyingValue,34415.45,FALSE
622,strikePrice,29000,FALSE
623,expiryDate,29-Jul-21,FALSE
624,CE.strikePrice,29000,FALSE
625,CE.expiryDate,29-Jul-21,FALSE
626,CE.underlying,BANKNIFTY,FALSE
627,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE29000.00,FALSE
628,CE.openInterest,266,FALSE
629,CE.changeinOpenInterest,-16,FALSE
630,CE.pchangeinOpenInterest,-5.673758865,FALSE
631,CE.totalTradedVolume,54,FALSE
632,CE.impliedVolatility,0,FALSE
633,CE.lastPrice,5482.6,FALSE
634,CE.change,-594.55,FALSE
635,CE.pChange,-9.783368849,FALSE
636,CE.totalBuyQuantity,6175,FALSE
637,CE.totalSellQuantity,6075,FALSE
638,CE.bidQty,125,FALSE
639,CE.bidprice,5477.5,FALSE
640,CE.askQty,125,TRUE
641,CE.askPrice,5515.15,FALSE
642,CE.underlyingValue,34415.45,FALSE
643,PE.strikePrice,29000,FALSE
644,PE.expiryDate,29-Jul-21,FALSE
645,PE.underlying,BANKNIFTY,FALSE
646,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE29000.00,FALSE
647,PE.openInterest,1085,FALSE
648,PE.changeinOpenInterest,-261,FALSE
649,PE.pchangeinOpenInterest,-19.39078752,FALSE
650,PE.totalTradedVolume,1478,FALSE
651,PE.impliedVolatility,45.22,FALSE
652,PE.lastPrice,5.3,FALSE
653,PE.change,1.5,FALSE
654,PE.pChange,39.47368421,FALSE
655,PE.totalBuyQuantity,27450,FALSE
656,PE.totalSellQuantity,3375,FALSE
657,PE.bidQty,25,FALSE
658,PE.bidprice,4.6,FALSE
659,PE.askQty,25,FALSE
660,PE.askPrice,5.9,FALSE
661,PE.underlyingValue,34415.45,FALSE
662,strikePrice,29000,FALSE
663,expiryDate,30-Sep-21,FALSE
664,CE.strikePrice,29000,FALSE
665,CE.expiryDate,30-Sep-21,FALSE
666,CE.underlying,BANKNIFTY,FALSE
