"","date","open","high","low","close","volume","Name","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","price_difference","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1342","2011-06-20 00:00:00+05:30",10592.65,10618.4,10340.4,10484.29,0,"NIFTY BANK",10599.7666666667,10546.68,10651.33,10495.12,10704.42,10809.07,10390.47,104.65,10624.46,10639.74,10652.09,10664.44,10704.42,10575.07,10559.79,10547.44,10535.09,10495.12,10658.5594509694,34.995498465876
"1343","2011-06-21 00:00:00+05:30",10503.75,10645.1,10426.85,10459.15,0,"NIFTY BANK",10481.03,10343.66,10621.66,10203.03,10759.03,11037.03,9925.03,278,10546.64,10587.23,10620.03,10652.83,10759.03,10415.42,10374.83,10342.03,10309.23,10203.03,10622.3031871568,33.9194370487478
"1344","2011-06-22 00:00:00+05:30",10526.4,10551.8,10435.04,10475.2,0,"NIFTY BANK",10510.3666666667,10375.63,10593.88,10292.12,10728.62,10946.87,10073.87,218.25,10561.87,10593.74,10619.49,10645.25,10728.62,10458.86,10427,10401.24,10375.49,10292.12,10595.5571531283,35.3300080037274
"1345","2011-06-23 00:00:00+05:30",10453.1,10553.35,10421.65,10526.45,0,"NIFTY BANK",10487.3466666667,10422.89,10539.65,10370.59,10604.11,10720.87,10253.83,116.759999999998,10514.9,10531.95,10545.73,10559.5,10604.11,10459.79,10442.74,10428.97,10415.19,10370.59,10582.9922161959,39.8829799201061
"1346","2011-06-24 00:00:00+05:30",10576.5,10875.25,10576.5,10854.5,0,"NIFTY BANK",10500.4833333333,10447.62,10579.32,10368.78,10632.18,10763.88,10237.08,131.700000000001,10531.56,10550.79,10566.33,10581.87,10632.18,10469.4,10450.17,10434.63,10419.09,10368.78,10632.3572677966,59.9412421802909
"1347","2011-06-27 00:00:00+05:30",10808.9,11068.6,10774.1,11032.5,0,"NIFTY BANK",10768.75,10662.25,10961,10470,11067.5,11366.25,10171.25,298.75,10839.25,10882.87,10918.12,10953.38,11067.5,10698.25,10654.63,10619.38,10584.12,10470,10705.1104918336,66.6498332639558
"1348","2011-06-28 00:00:00+05:30",11059.15,11114.2,10986.7,11054.05,0,"NIFTY BANK",10958.4,10848.2,11142.7,10663.9,11252.9,11547.4,10369.4,294.5,11027.9,11070.9,11105.65,11140.4,11252.9,10888.9,10845.9,10811.15,10776.4,10663.9,10768.5540387729,67.3845864779103
"1349","2011-06-29 00:00:00+05:30",11110.35,11170.35,11090.55,11153.35,0,"NIFTY BANK",11051.65,10989.1,11116.6,10924.15,11179.15,11306.65,10796.65,127.5,11081.74,11100.35,11115.4,11130.44,11179.15,11021.56,11002.94,10987.9,10972.85,10924.15,10838.5169408142,70.690635926958
"1350","2011-06-30 00:00:00+05:30",11183.25,11271.35,11149.2,11244.65,0,"NIFTY BANK",11138.0833333333,11105.82,11185.62,11058.28,11217.88,11297.68,10978.48,79.8000000000011,11156.92,11168.57,11177.98,11187.4,11217.88,11119.25,11107.6,11098.18,11088.77,11058.28,10912.3593152116,73.4409254445344
"1351","2011-07-01 00:00:00+05:30",11359.95,11359.95,11190,11255,0,"NIFTY BANK",11221.7333333333,11172.12,11294.27,11099.58,11343.88,11466.03,10977.43,122.15,11250.56,11268.39,11282.81,11297.22,11343.88,11192.91,11175.07,11160.66,11146.24,11099.58,10974.6576215368,73.7511734328352
"1352","2011-07-04 00:00:00+05:30",11379.05,11401,11322.05,11379.8,0,"NIFTY BANK",11268.3166666667,11176.68,11346.63,11098.37,11438.27,11608.22,10928.42,169.950000000001,11308.42,11333.24,11353.29,11373.35,11438.27,11228.21,11203.4,11183.34,11163.29,11098.37,11048.3198721665,77.3033144809497
"1353","2011-07-05 00:00:00+05:30",11385.05,11431.7,11302.6,11406.1,0,"NIFTY BANK",11367.6166666667,11334.23,11413.18,11288.67,11446.57,11525.52,11209.72,78.9500000000007,11386.25,11397.78,11407.09,11416.41,11446.57,11348.98,11337.46,11328.14,11318.83,11288.67,11113.3708044998,78.000411958289
"1354","2011-07-06 00:00:00+05:30",11379.2,11404.7,11255.05,11283.05,0,"NIFTY BANK",11380.1333333333,11328.57,11457.67,11251.03,11509.23,11638.33,11121.93,129.1,11410.6,11429.45,11444.68,11459.92,11509.23,11349.67,11330.82,11315.58,11300.35,11251.03,11144.221567318,67.26105866352
"1355","2011-07-07 00:00:00+05:30",11298,11446.55,11232.15,11426.1,0,"NIFTY BANK",11314.2666666667,11223.83,11373.48,11164.62,11463.92,11613.57,11014.97,149.650000000001,11349.58,11371.43,11389.09,11406.75,11463.92,11278.95,11257.1,11239.44,11221.78,11164.62,11195.472191442,72.2044040755727
"1356","2011-07-08 00:00:00+05:30",11431.95,11451.25,11270,11285.15,0,"NIFTY BANK",11368.2666666667,11289.98,11504.38,11153.87,11582.67,11797.07,10939.47,214.4,11418.87,11450.17,11475.47,11500.77,11582.67,11317.67,11286.37,11261.07,11235.77,11153.87,11211.7772475435,61.9617053943205
"1357","2011-07-11 00:00:00+05:30",11275,11275,11106.85,11135.5,0,"NIFTY BANK",11335.4666666667,11219.68,11400.93,11154.22,11516.72,11697.97,10972.97,181.25,11378.24,11404.7,11426.09,11447.48,11516.72,11292.69,11266.23,11244.84,11223.45,11154.22,11197.908657081,53.0790470578188
"1358","2011-07-12 00:00:00+05:30",11040.7,11131.75,10941.3,11022.55,0,"NIFTY BANK",11172.45,11069.9,11238.05,11004.3,11340.6,11508.75,10836.15,168.15,11212.13,11236.68,11256.52,11276.37,11340.6,11132.77,11108.22,11088.38,11068.53,11004.3,11166.0252648845,47.3825833472582
"1359","2011-07-13 00:00:00+05:30",11065.2,11164.25,11060.9,11142.25,0,"NIFTY BANK",11031.8666666667,10931.98,11122.43,10841.42,11222.32,11412.77,10650.97,190.450000000001,11076.81,11104.62,11127.09,11149.56,11222.32,10986.92,10959.11,10936.64,10914.17,10841.42,11161.7024894509,53.2858943313409
"1360","2011-07-14 00:00:00+05:30",11121.4,11385.35,11072.5,11263.8,0,"NIFTY BANK",11122.4666666667,11080.68,11184.03,11019.12,11225.82,11329.17,10915.77,103.35,11146.86,11161.95,11174.14,11186.34,11225.82,11098.08,11082.99,11070.79,11058.6,11019.12,11180.2656731871,58.5347939968253
"1361","2011-07-15 00:00:00+05:30",11249.4,11334.6,11195.5,11234.55,0,"NIFTY BANK",11240.55,11095.75,11408.6,10927.7,11553.4,11866.25,10614.85,312.85,11314.38,11360.06,11396.97,11433.89,11553.4,11166.72,11121.04,11084.12,11047.21,10927.7,11190.1355507895,56.8275043220509
"1362","2011-07-18 00:00:00+05:30",11234.7,11277.45,11176.85,11228.85,0,"NIFTY BANK",11254.8833333333,11175.17,11314.27,11115.78,11393.98,11533.08,10976.68,139.1,11287.71,11308.02,11324.43,11340.85,11393.98,11222.06,11201.75,11185.33,11168.92,11115.78,11197.174541555,56.4708692352418
"1363","2011-07-19 00:00:00+05:30",11230.05,11353.75,11204.75,11313.85,0,"NIFTY BANK",11227.7166666667,11177.98,11278.58,11127.12,11328.32,11428.92,11026.52,100.6,11251.46,11266.15,11278.02,11289.89,11328.32,11203.98,11189.29,11177.42,11165.55,11127.12,11218.3882612723,60.5708725810383
"1364","2011-07-20 00:00:00+05:30",11372.15,11388.5,11142.4,11164.7,0,"NIFTY BANK",11290.7833333333,11227.82,11376.82,11141.78,11439.78,11588.78,10992.78,149,11325.95,11347.7,11365.28,11382.87,11439.78,11255.62,11233.87,11216.28,11198.7,11141.78,11208.6267592228,51.1734138131103
"1365","2011-07-21 00:00:00+05:30",11159.1,11193.05,11021.7,11049.8,0,"NIFTY BANK",11231.8666666667,11075.23,11321.33,10985.77,11477.97,11724.07,10739.67,246.1,11289.95,11325.88,11354.92,11383.96,11477.97,11173.79,11137.86,11108.82,11079.78,10985.77,11179.7491666368,45.1742367041973
